Package,N,A,Ce,Ca,I,D,post,Package Name ,IPIC ,IIPUD,IIPED,PGF ,PSC ,SLOC,pkgKLOC
org.apache.camel,69,1.3,17,171,0.090425532,0.390425532,63,apache.camel,0.180952381,0.16,0.75,0.106797047,0.378617258,1534,1.534
org.apache.camel.bam,7,0.4,12,2,0.857142857,0.257142857,0,camel.bam,0.99047619,0.171052632,0.75,1,0.5,356,0.356
org.apache.camel.bam.model,6,0.2,5,3,0.625,0.175,0,bam.model,0.985714286,0.555555556,1,0.916666667,0.666666667,372,0.372
org.apache.camel.bam.processor,6,0.2,10,2,0.833333333,0.033333333,0,bam.processor,0.99047619,0.261538462,0.75,0.5,0.25,439,0.439
org.apache.camel.bam.rules,3,0,10,4,0.714285714,0.285714286,0,bam.rules,0.980952381,0.16875,1,0.583333333,0.5,215,0.215
org.apache.camel.builder,36,0.285714286,27,105,0.204545455,0.50974026,43,camel.builder,0.495238095,0.075892857,0.5,0.085714286,0.710111843,3418,3.418
org.apache.camel.builder.saxon,6,0,12,0,0,1,0,builder.saxon,1,0.197916667,0.75,0,0,200,0.2
org.apache.camel.builder.script,16,0.6,12,0,0,0.4,0,builder.script,1,0.272727273,0.666666667,0,0,581,0.581
org.apache.camel.builder.script.example,6,0,5,0,0,1,0,script.example,1,0.5,1,0,0,102,0.102
org.apache.camel.builder.sql,4,0.333333333,5,0,0,0.666666667,0,builder.sql,1,0.407407407,1,0,0,176,0.176
org.apache.camel.builder.xml,18,0.125,21,8,0.724137931,0.150862069,1,builder.xml,0.961904762,0.153439153,1,0.333333333,0.359375,994,0.994
org.apache.camel.component,2,0,5,8,0.384615385,0.615384615,0,camel.component,0.961904762,0.666666667,1,0.5,0.453125,102,0.102
org.apache.camel.component.amqp,3,0,6,0,0,1,0,component.amqp,1,0.375,0.75,0,0,131,0.131
org.apache.camel.component.atom,17,0.133333333,12,0,0,0.866666667,0,component.atom,1,0.222222222,0.428571429,0,0,483,0.483
org.apache.camel.component.bean,50,0.086956522,23,14,0.621621622,0.291421857,13,component.bean,0.938095238,0.10130719,0.272727273,0.142857143,0.398562975,2603,2.603
